Event Name                                                       ,    Lat ,Lng     ,Depth(km), Mag
GCMT_event_SOUTHERN_IRAN_Mag_5.8_2010-7-20-19                    ,26.9,53.6,12.0,5.8
GCMT_event_SOUTHERN_IRAN_Mag_5.9_2010-9-27-11                    ,29.6,51.6,17.0,5.9
GCMT_event_SOUTHERN_IRAN_Mag_6.1_2008-9-10-11                    ,26.6,55.7,12.0,6.1
GCMT_event_SOUTHERN_IRAN_Mag_6.2_2011-1-27-8                     ,28.0,59.0,14.0,6.2
GCMT_event_SOUTHERN_IRAN_Mag_6.3_2013-4-9-11                     ,28.3,51.6,12.0,6.3
GCMT_event_SOUTHERN_MID-ATLANTIC_RIDGE_Mag_5.5_2009-6-27-15      ,-33.1,-15.8,12.0,5.5
GCMT_event_SOUTHERN_MID-ATLANTIC_RIDGE_Mag_5.5_2010-1-6-16       ,-41.7,-16.4,12.0,5.5
GCMT_event_SOUTHERN_MID-ATLANTIC_RIDGE_Mag_5.6_2008-4-27-14      ,-35.4,-16.3,16.0,5.6
GCMT_event_SOUTHERN_MID-ATLANTIC_RIDGE_Mag_5.6_2008-8-17-15      ,-52.9,-4.1,14.0,5.6
GCMT_event_SOUTHERN_MID-ATLANTIC_RIDGE_Mag_5.6_2010-2-26-0       ,-56.0,-4.3,15.0,5.6
GCMT_event_SOUTHERN_MID-ATLANTIC_RIDGE_Mag_5.6_2011-6-7-5        ,-44.4,-15.8,12.0,5.6
GCMT_event_SOUTHERN_MID-ATLANTIC_RIDGE_Mag_5.7_2008-7-15-5       ,-47.6,-11.9,18.0,5.7
GCMT_event_SOUTHERN_MID-ATLANTIC_RIDGE_Mag_5.7_2011-4-24-21      ,-35.5,-16.9,18.0,5.7
GCMT_event_SOUTHERN_MID-ATLANTIC_RIDGE_Mag_5.7_2013-5-16-5       ,-57.8,-6.7,12.0,5.7
GCMT_event_SOUTHERN_MID-ATLANTIC_RIDGE_Mag_5.7_2013-6-7-20       ,-43.9,-15.9,12.0,5.7
GCMT_event_SOUTHERN_MID-ATLANTIC_RIDGE_Mag_5.8_2008-12-20-21     ,-31.2,-13.3,12.0,5.8
GCMT_event_SOUTHERN_MID-ATLANTIC_RIDGE_Mag_5.8_2010-1-27-17      ,-14.0,-14.4,12.0,5.8
GCMT_event_SOUTHERN_MID-ATLANTIC_RIDGE_Mag_5.8_2010-7-20-17      ,-29.1,-13.0,12.0,5.8
GCMT_event_SOUTHWESTERN_PAKISTAN_Mag_5.6_2009-10-25-17           ,29.5,64.1,135.0,5.6
GCMT_event_SOUTHWESTERN_PAKISTAN_Mag_5.8_2011-8-10-0             ,27.6,65.0,58.0,5.8
GCMT_event_SOUTHWEST_INDIAN_RIDGE_Mag_5.6_2012-3-26-16           ,-30.1,60.6,12.0,5.6
GCMT_event_SOUTHWEST_INDIAN_RIDGE_Mag_5.6_2013-6-17-11           ,-36.5,52.4,19.0,5.6
GCMT_event_SOUTHWEST_INDIAN_RIDGE_Mag_5.8_2007-4-7-5             ,-39.8,46.2,18.0,5.8
GCMT_event_SOUTHWEST_INDIAN_RIDGE_Mag_5.8_2013-4-2-14            ,-40.2,45.3,12.0,5.8
GCMT_event_SOUTHWEST_INDIAN_RIDGE_Mag_5.8_2013-8-25-16           ,-33.5,57.0,15.0,5.8
GCMT_event_SOUTHWEST_INDIAN_RIDGE_Mag_6.2_2013-8-17-16           ,-34.9,54.1,12.0,6.2
GCMT_event_SOUTHWEST_OF_AFRICA_Mag_5.9_2008-11-14-2              ,-53.8,9.1,14.0,5.9
GCMT_event_SOUTH_ATLANTIC_OCEAN_Mag_5.8_2012-6-29-15             ,-24.6,-9.7,12.0,5.8
GCMT_event_SOUTH_INDIAN_OCEAN_Mag_5.6_2010-6-11-12               ,-37.2,52.0,12.0,5.6
GCMT_event_SOUTH_OF_AFRICA_Mag_5.6_2013-12-2-12                  ,-53.2,25.7,18.0,5.6
GCMT_event_SOUTH_OF_AFRICA_Mag_5.6_2013-5-18-4                   ,-53.1,22.7,12.0,5.6
GCMT_event_SOUTH_OF_AFRICA_Mag_5.8_2009-2-18-3                   ,-53.0,21.3,12.0,5.8
GCMT_event_SOUTH_OF_AFRICA_Mag_5.9_2011-12-23-19                 ,-52.2,28.4,23.0,5.9
GCMT_event_SOUTH_SANDWICH_ISLANDS_REGION_Mag_5.5_2007-5-30-19    ,-60.6,-26.1,19.0,5.5
GCMT_event_SOUTH_SANDWICH_ISLANDS_REGION_Mag_5.5_2008-7-30-20    ,-60.0,-27.5,145.0,5.5
GCMT_event_SOUTH_SANDWICH_ISLANDS_REGION_Mag_5.5_2010-8-29-6     ,-55.9,-26.7,25.0,5.5
GCMT_event_SOUTH_SANDWICH_ISLANDS_REGION_Mag_5.5_2010-9-4-11     ,-59.3,-25.0,43.0,5.5
GCMT_event_SOUTH_SANDWICH_ISLANDS_REGION_Mag_5.5_2012-1-13-16    ,-60.9,-26.8,12.0,5.5
GCMT_event_SOUTH_SANDWICH_ISLANDS_REGION_Mag_5.5_2013-6-16-2     ,-56.4,-27.0,78.0,5.5
GCMT_event_SOUTH_SANDWICH_ISLANDS_REGION_Mag_5.6_2007-7-31-2     ,-56.1,-27.6,118.0,5.6
GCMT_event_SOUTH_SANDWICH_ISLANDS_REGION_Mag_5.6_2008-1-29-14    ,-59.0,-24.6,36.0,5.6
GCMT_event_SOUTH_SANDWICH_ISLANDS_REGION_Mag_5.6_2008-11-13-15   ,-56.0,-26.9,73.0,5.6
GCMT_event_SOUTH_SANDWICH_ISLANDS_REGION_Mag_5.6_2008-2-3-14     ,-56.4,-26.5,98.0,5.6
GCMT_event_SOUTH_SANDWICH_ISLANDS_REGION_Mag_5.6_2010-3-11-6     ,-57.5,-27.6,285.0,5.6
GCMT_event_SOUTH_SANDWICH_ISLANDS_REGION_Mag_5.6_2010-3-14-22    ,-58.6,-23.3,17.0,5.6
GCMT_event_SOUTH_SANDWICH_ISLANDS_REGION_Mag_5.6_2010-4-25-21    ,-55.6,-27.7,25.0,5.6
GCMT_event_SOUTH_SANDWICH_ISLANDS_REGION_Mag_5.6_2011-8-21-12    ,-56.6,-27.1,108.0,5.6
GCMT_event_SOUTH_SANDWICH_ISLANDS_REGION_Mag_5.7_2008-10-4-7     ,-59.7,-25.4,41.0,5.7
GCMT_event_SOUTH_SANDWICH_ISLANDS_REGION_Mag_5.7_2011-8-16-20    ,-57.4,-25.0,33.0,5.7
GCMT_event_SOUTH_SANDWICH_ISLANDS_REGION_Mag_5.9_2008-5-15-14    ,-58.1,-25.2,36.0,5.9
GCMT_event_SOUTH_SANDWICH_ISLANDS_REGION_Mag_5.9_2010-6-2-1      ,-57.6,-26.1,135.0,5.9
GCMT_event_SOUTH_SANDWICH_ISLANDS_REGION_Mag_5.9_2012-1-22-5     ,-56.8,-24.5,12.0,5.9
GCMT_event_SOUTH_SANDWICH_ISLANDS_REGION_Mag_6.0_2011-7-15-13    ,-61.1,-22.9,12.0,6.0
GCMT_event_SOUTH_SANDWICH_ISLANDS_REGION_Mag_6.0_2013-3-19-3     ,-59.1,-23.9,34.0,6.0
GCMT_event_SOUTH_SANDWICH_ISLANDS_REGION_Mag_6.2_2007-1-20-6     ,-55.3,-29.3,12.0,6.2
GCMT_event_SOUTH_SANDWICH_ISLANDS_REGION_Mag_6.3_2009-2-28-14    ,-61.0,-24.4,17.0,6.3
GCMT_event_SOUTH_SANDWICH_ISLANDS_REGION_Mag_6.3_2010-12-8-5     ,-56.5,-25.5,18.0,6.3
GCMT_event_SOUTH_SANDWICH_ISLANDS_REGION_Mag_6.3_2013-7-26-21    ,-58.1,-23.5,17.0,6.3
GCMT_event_SOUTH_SANDWICH_ISLANDS_REGION_Mag_6.5_2008-2-10-12    ,-61.0,-25.0,12.0,6.5
GCMT_event_SOUTH_SANDWICH_ISLANDS_REGION_Mag_6.7_2009-4-16-14    ,-60.7,-26.6,24.0,6.7
GCMT_event_SPAIN_Mag_6.3_2010-4-11-22                            ,37.1,-3.7,616.0,6.3
GCMT_event_TAJIKISTAN_Mag_6.0_2007-1-8-17                        ,39.9,70.2,22.0,6.0
GCMT_event_TAJIKISTAN_Mag_6.2_2011-7-19-19                       ,40.3,71.4,28.0,6.2
GCMT_event_TANZANIA_Mag_5.6_2007-12-8-19                         ,-7.4,37.5,12.0,5.6
GCMT_event_TANZANIA_Mag_5.9_2007-7-17-14                         ,-2.7,35.9,12.0,5.9
GCMT_event_TANZANIA_Mag_5.9_2009-12-8-3                          ,-9.9,33.9,12.0,5.9
GCMT_event_TRISTAN_DA_CUNHA_REGION_Mag_5.5_2012-9-14-7           ,-39.8,-15.8,12.0,5.5
GCMT_event_TRISTAN_DA_CUNHA_REGION_Mag_5.7_2012-4-21-1           ,-35.4,-15.8,18.0,5.7
GCMT_event_TURKEY_Mag_5.6_2011-10-25-14                          ,38.7,43.5,14.0,5.6
GCMT_event_TURKEY_Mag_5.6_2011-9-22-3                            ,39.7,38.6,16.0,5.6
GCMT_event_TURKEY_Mag_5.7_2007-12-20-9                           ,39.4,33.1,12.0,5.7
GCMT_event_TURKEY_Mag_5.7_2007-2-21-11                           ,38.5,39.2,12.0,5.7
GCMT_event_TURKEY_Mag_5.7_2011-11-9-19                           ,38.3,43.3,13.0,5.7
GCMT_event_TURKEY_Mag_5.9_2011-5-19-20                           ,39.1,29.1,12.0,5.9
GCMT_event_TURKEY_Mag_6.0_2010-3-8-2                             ,38.8,40.0,15.0,6.0
GCMT_event_TURKEY_Mag_6.0_2011-10-23-20                          ,38.5,43.1,12.0,6.0
GCMT_event_TURKEY_Mag_6.1_2012-6-10-12                           ,36.3,29.1,28.0,6.1
